DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,MinDepth,MinAccuracy,MinSource,MaxDepth,MaxAccuracy,MaxSource
"Gansbaai GW2",117494,0.500000,Mk10,12:00:00 13-Apr-2012,,,,0.000000,0.250000,Archive,18.500000,0.250000,Archive
"Gansbaai GW2",117494,0.500000,Mk10,18:00:00 13-Apr-2012,,,,0.000000,0.250000,Archive,14.500000,0.250000,Archive
"Gansbaai GW2",117494,0.500000,Mk10,00:00:00 14-Apr-2012,,,,0.000000,0.250000,Archive,13.500000,0.250000,Archive
"Gansbaai GW2",117494,0.500000,Mk10,06:00:00 14-Apr-2012,,,,0.000000,0.250000,Archive,17.000000,0.250000,Archive
"Gansbaai GW2",117494,0.500000,Mk10,12:00:00 14-Apr-2012,,,,0.000000,0.250000,Archive,15.500000,0.250000,Archive
"Gansbaai GW2",117494,0.500000,Mk10,18:00:00 14-Apr-2012,,,,0.000000,0.250000,Archive,21.500000,0.250000,Archive
"Gansbaai GW2",117494,0.500000,Mk10,00:00:00 15-Apr-2012,,,,0.000000,0.250000,Archive,21.500000,0.250000,Archive
"Gansbaai GW2",117494,0.500000,Mk10,06:00:00 15-Apr-2012,GPE,-39.00000000,20.66913033,0.000000,0.250000,Archive,31.500000,0.250000,Archive
"Gansbaai GW2",117494,0.500000,Mk10,12:00:00 15-Apr-2012,GPE,-39.00000000,20.66913033,0.000000,0.250000,Archive,23.000000,0.250000,Archive
"Gansbaai GW2",117494,0.500000,Mk10,18:00:00 15-Apr-2012,GPE,-36.50000000,20.60540962,0.000000,0.250000,Archive,22.000000,0.250000,Archive
"Gansbaai GW2",117494,0.500000,Mk10,00:00:00 16-Apr-2012,GPE,-36.50000000,20.60540962,0.000000,0.250000,Archive,22.500000,0.250000,Archive
"Gansbaai GW2",117494,0.500000,Mk10,06:00:00 16-Apr-2012,GPE,-36.50000000,20.60540962,3.500000,0.250000,Archive,11.500000,0.250000,Archive
"Gansbaai GW2",117494,0.500000,Mk10,12:00:00 16-Apr-2012,GPE,-36.50000000,20.60540962,0.000000,0.250000,Archive,13.000000,0.250000,Archive
"Gansbaai GW2",117494,0.500000,Mk10,18:00:00 16-Apr-2012,GPE,-36.50000000,20.60540962,0.000000,0.250000,Archive,24.000000,0.250000,Archive
"Gansbaai GW2",117494,0.500000,Mk10,00:00:00 17-Apr-2012,GPE,-36.50000000,20.60540962,0.000000,0.250000,Archive,17.500000,0.250000,Archive
"Gansbaai GW2",117494,0.500000,Mk10,06:00:00 17-Apr-2012,GPE,-38.00000000,20.01073074,0.000000,0.250000,Archive,20.000000,0.250000,Archive
"Gansbaai GW2",117494,0.500000,Mk10,12:00:00 17-Apr-2012,GPE,-38.00000000,20.01073074,0.000000,0.250000,Archive,13.000000,0.250000,Archive
"Gansbaai GW2",117494,0.500000,Mk10,18:00:00 17-Apr-2012,GPE,-38.00000000,20.01073074,0.000000,0.250000,Archive,17.000000,0.250000,Archive
"Gansbaai GW2",117494,0.500000,Mk10,00:00:00 18-Apr-2012,GPE,-38.00000000,20.01073074,0.000000,0.250000,Archive,15.000000,0.250000,Archive
